NDVI,Rainfall_mm,Temperature_C,Elevation_m,Slope_Degrees,Soil_Moisture,Evapotranspiration_mm,Crop_Beans,Crop_Cowpeas,Crop_Irish Potatoes,Crop_Maize,Crop_Pigeon Peas,Crop_Sorghum,Crop_Sweet Potatoes,Crop_Wheat
0.521844607,1194.124695,32.23390657,1396.422952,9.067460354,0.189043441,707.8705582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.690929089,1701.396283,28.15866095,1905.329942,5.558003884,0.38903972,1123.709827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.632323364,2009.668895,30.11177144,1553.924765,4.234981364,0.368932604,938.2848185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.634227956,2262.51008,30.63398572,1229.264375,3.551980104,0.359095054,829.6819571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64454072,1885.016711,31.0128096,1337.668199,4.055499256,0.343102075,924.3743819,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.393251764,856.6418192,34.50392347,1433.88776,4.802322515,0.287694797,498.0962927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.659676238,2331.746613,29.13620193,1506.001934,4.282490046,0.355286572,978.3080859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.704539269,1863.73143,28.50418639,1812.953605,8.42308492,0.29842051,1095.517649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.702404087,2122.283236,26.70733033,1794.404485,7.549536285,0.418166457,1087.761393,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.449404915,1149.943226,32.36397664,1313.118025,6.025219254,0.258467237,559.7507588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44987336,971.5848102,33.84146161,1074.619032,5.44433328,0.252791567,541.8421095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.525397069,1622.92785,33.04976687,1305.769757,5.517892722,0.242124411,716.7239701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.616025983,1741.52282,30.74093776,1377.596784,4.41738536,0.330214339,938.3988613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.675817521,1820.737324,25.40589726,1815.846645,11.66395739,0.375012331,1123.741729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.558473805,1217.417424,29.31893847,2130.842906,6.231667917,0.307212237,887.4921754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.698141132,1865.745163,27.42790686,1905.125646,7.115943796,0.417806771,1077.026279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
