Year,Crop,Harvested_Area_ha,Production_kg,Yield_kg_per_ha,Weighted_Mean_NDVI,Rainfall_mm,Weighted_Mean_Temperature_C
2014,Tea,203006.0,1935000000.0,9531.7,0.66315847,1327.537141,26.52555157
2014,Wheat,147210.0,228900000.0,1554.9,0.592817258,1051.222154,26.54051644
2015,Maize,2098240.0,3825000000.0,1823.0,0.547095867,1307.267772,31.035313
2015,Rice,29438.0,116473000.0,3956.6,0.617367937,1411.288082,28.50277526
2015,Sugarcane,77830.0,7164790000.0,92056.9,0.609165159,1723.443822,30.34795544
2015,Tea,209400.0,1735000000.0,8285.6,0.643423698,1404.762198,27.3888159
2015,Wheat,120256.0,238600000.0,1984.1,0.577211757,1146.340928,27.42170944
2016,Maize,2337586.0,3339000000.0,1428.4,0.554967627,1080.484749,30.71845272
2016,Rice,29337.0,101510000.0,3460.1,0.618086759,1139.670468,28.60082145
2016,Sugarcane,86876.0,7094619000.0,81663.7,0.60819604,1396.060929,30.67301153
2016,Tea,218500.0,2057000000.0,9414.2,0.661078283,1279.026919,26.84706946
2016,Wheat,153119.0,214700000.0,1402.2,0.605120849,1122.182469,26.28366593
2017,Maize,2086178.0,3186000000.0,1527.2,0.538899834,1181.338587,31.56166702
2017,Rice,30392.0,81198000.0,2671.7,0.596458671,1121.708725,29.06960255
2017,Sugarcane,67708.0,4751605240.0,70177.9,0.607942055,1691.439741,30.73774794
2017,Tea,232700.0,1912000000.0,8216.6,0.641026419,1361.739718,27.93207105
2017,Wheat,131309.0,165200000.0,1258.1,0.567813278,1097.494797,28.20524445
2018,Maize,2273283.0,4013777440.0,1765.6,0.57188249,1545.832646,29.83907372
2018,Rice,25966.0,112605000.0,4336.7,0.632236917,1807.052345,27.69683056
2018,Sugarcane,73080.0,5262157000.0,72005.4,0.61989677,1820.900301,29.78529791
2018,Tea,236200.0,2143000000.0,9072.8,0.656276171,1795.75382,26.44815922
2018,Wheat,133147.0,336600000.0,2528.0,0.591557384,1649.012422,26.20714749
2019,Maize,2296174.0,3582000000.0,1560.0,0.567419929,1533.704398,30.62630952
2019,Rice,24992.0,160585000.0,6425.5,0.657282623,1683.410648,27.91144625
2019,Sugarcane,71935.0,4606100000.0,64031.4,0.632388099,1955.199204,30.14595756
2019,Tea,269400.0,1995000000.0,7405.3,0.656786266,1675.337653,27.09940568
2019,Wheat,139307.0,366200000.0,2628.7,0.581890847,1410.413999,27.25193624
2020,Maize,2135741.0,3789000000.0,1774.1,0.629246034,1784.490176,28.71288874
2020,Rice,28276.0,180890000.0,6397.3,0.693933832,1894.791173,26.87261476
2020,Sugarcane,89800.0,6810898000.0,75845.2,0.673521698,2437.466374,28.53441421
2020,Tea,269400.0,3050000000.0,11321.5,0.708106172,2046.73937,25.41318376
2020,Wheat,132231.0,404700000.0,3060.6,0.654116721,1713.875863,24.85219709
2021,Maize,2168603.0,3304430000.0,1523.8,0.562303668,1215.043505,30.21392897
2021,Rice,32028.0,186000000.0,5807.4,0.633485853,1237.19276,27.91516046
2021,Sugarcane,93288.0,7659100000.0,82101.7,0.633090673,1693.499796,29.35414802
2021,Tea,219000.0,2430900000.0,11100.0,0.665789222,1449.835835,26.31412271
2021,Wheat,124880.0,349102000.0,2795.5,0.597005482,1147.633668,26.42259289
2022,Maize,2113520.0,3082220000.0,1458.3,0.54543106,1296.70973,29.81076759
2022,Rice,44255.0,192299000.0,4345.2,0.600400203,1214.55086,27.84209867
2022,Sugarcane,117960.0,8799800000.0,74599.9,0.619668102,1921.271067,28.85994801
2022,Tea,225800.0,2418200000.0,10709.5,0.645269814,1579.276609,26.28263821
2022,Wheat,119554.0,368696000.0,3083.9,0.569183419,1242.202696,26.54408777
2023,Maize,2430014.0,4285206000.0,1763.4,0.574163014,1422.388697,29.2672808
2023,Rice,38942.0,229064000.0,5882.2,0.632499793,1483.2578,27.31410766
2023,Sugarcane,80700.0,5556100000.0,68848.8,0.646030748,1893.261448,28.68770426
2023,Tea,227800.0,2577800000.0,11316.1,0.673506672,1575.370266,25.72988452
2023,Wheat,104440.0,309492000.0,2963.3,0.590693157,1235.574415,26.03620062
