Item,Element,Year,Unit,Value
Wheat,Area harvested,2002,ha,144794
Wheat,Yield,2002,kg/ha,2121.7
Wheat,Production,2002,t,307215
Wheat,Area harvested,2003,ha,151135
Wheat,Yield,2003,kg/ha,2505.5
Wheat,Production,2003,t,378665
Wheat,Area harvested,2004,ha,152826
Wheat,Yield,2004,kg/ha,2482.7
Wheat,Production,2004,t,379425
Wheat,Area harvested,2005,ha,159477
Wheat,Yield,2005,kg/ha,2313.1
Wheat,Production,2005,t,368879
Wheat,Area harvested,2006,ha,150488
Wheat,Yield,2006,kg/ha,2187.5
Wheat,Production,2006,t,329193
Wheat,Area harvested,2007,ha,104176
Wheat,Yield,2007,kg/ha,3094
Wheat,Production,2007,t,322320
Wheat,Area harvested,2008,ha,130273
Wheat,Yield,2008,kg/ha,2584.5
Wheat,Production,2008,t,336688
Wheat,Area harvested,2009,ha,131594
Wheat,Yield,2009,kg/ha,1666.5
Wheat,Production,2009,t,219301
Wheat,Area harvested,2010,ha,160043
Wheat,Yield,2010,kg/ha,3199.1
Wheat,Production,2010,t,511994
Wheat,Area harvested,2011,ha,131509
Wheat,Yield,2011,kg/ha,2041.5
Wheat,Production,2011,t,268482
Wheat,Area harvested,2012,ha,148703
Wheat,Yield,2012,kg/ha,2972
Wheat,Production,2012,t,441944
Wheat,Area harvested,2013,ha,162900
Wheat,Yield,2013,kg/ha,2760.2
Wheat,Production,2013,t,449641
Wheat,Area harvested,2014,ha,147210
Wheat,Yield,2014,kg/ha,1554.9
Wheat,Production,2014,t,228900
Wheat,Area harvested,2015,ha,120256
Wheat,Yield,2015,kg/ha,1984.1
Wheat,Production,2015,t,238600
Wheat,Area harvested,2016,ha,153119
Wheat,Yield,2016,kg/ha,1402.2
Wheat,Production,2016,t,214700
Wheat,Area harvested,2017,ha,131309
Wheat,Yield,2017,kg/ha,1258.1
Wheat,Production,2017,t,165200
Wheat,Area harvested,2018,ha,133147
Wheat,Yield,2018,kg/ha,2528
Wheat,Production,2018,t,336600
Wheat,Area harvested,2019,ha,139307
Wheat,Yield,2019,kg/ha,2628.7
Wheat,Production,2019,t,366200
Wheat,Area harvested,2020,ha,132231
Wheat,Yield,2020,kg/ha,3060.6
Wheat,Production,2020,t,404700
Wheat,Area harvested,2021,ha,124880
Wheat,Yield,2021,kg/ha,2795.5
Wheat,Production,2021,t,349102
Wheat,Area harvested,2022,ha,119554
Wheat,Yield,2022,kg/ha,3083.9
Wheat,Production,2022,t,368696
Wheat,Area harvested,2023,ha,104440
Wheat,Yield,2023,kg/ha,2963.3
Wheat,Production,2023,t,309492
Wheat,Area harvested,2024,ha,102560
Wheat,Yield,2024,kg/ha,3044.1
Wheat,Production,2024,t,312200
Sugar cane,Area harvested,2000,ha,57243
Sugar cane,Yield,2000,kg/ha,68856
Sugar cane,Production,2000,t,3941524
Sugar cane,Area harvested,2001,ha,47794
Sugar cane,Yield,2001,kg/ha,74293.7
Sugar cane,Production,2001,t,3550792
Sugar cane,Area harvested,2002,ha,54010
Sugar cane,Yield,2002,kg/ha,83343.1
Sugar cane,Production,2002,t,4501363
Sugar cane,Area harvested,2003,ha,50468
Sugar cane,Yield,2003,kg/ha,83301.4
Sugar cane,Production,2003,t,4204055
Sugar cane,Area harvested,2004,ha,54191
Sugar cane,Yield,2004,kg/ha,86010.5
Sugar cane,Production,2004,t,4660995
Sugar cane,Area harvested,2005,ha,56537
Sugar cane,Yield,2005,kg/ha,84914.7
Sugar cane,Production,2005,t,4800820
Sugar cane,Area harvested,2006,ha,54621
Sugar cane,Yield,2006,kg/ha,90310.3
Sugar cane,Production,2006,t,4932839
Sugar cane,Area harvested,2007,ha,59201
Sugar cane,Yield,2007,kg/ha,87907.5
Sugar cane,Production,2007,t,5204214
Sugar cane,Area harvested,2008,ha,54465
Sugar cane,Yield,2008,kg/ha,93858.4
Sugar cane,Production,2008,t,5112000
Sugar cane,Area harvested,2009,ha,65774
Sugar cane,Yield,2009,kg/ha,85302.7
Sugar cane,Production,2009,t,5610702
Sugar cane,Area harvested,2010,ha,68738
Sugar cane,Yield,2010,kg/ha,83063
Sugar cane,Production,2010,t,5709586
Sugar cane,Area harvested,2011,ha,79000
Sugar cane,Yield,2011,kg/ha,67181.5
Sugar cane,Production,2011,t,5307341
Sugar cane,Area harvested,2012,ha,87340
Sugar cane,Yield,2012,kg/ha,66681.5
Sugar cane,Production,2012,t,5823964
Sugar cane,Area harvested,2013,ha,85857
Sugar cane,Yield,2013,kg/ha,77730.7
Sugar cane,Production,2013,t,6673725
Sugar cane,Area harvested,2014,ha,72180
Sugar cane,Yield,2014,kg/ha,88804.8
Sugar cane,Production,2014,t,6409929
Sugar cane,Area harvested,2015,ha,77830
Sugar cane,Yield,2015,kg/ha,92056.9
Sugar cane,Production,2015,t,7164790
Sugar cane,Area harvested,2016,ha,86876
Sugar cane,Yield,2016,kg/ha,81663.7
Sugar cane,Production,2016,t,7094619
Sugar cane,Area harvested,2017,ha,67708
Sugar cane,Yield,2017,kg/ha,70177.9
Sugar cane,Production,2017,t,4751605.24
Sugar cane,Area harvested,2018,ha,73080
Sugar cane,Yield,2018,kg/ha,72005.4
Sugar cane,Production,2018,t,5262157
Sugar cane,Area harvested,2019,ha,71935
Sugar cane,Yield,2019,kg/ha,64031.4
Sugar cane,Production,2019,t,4606100
Sugar cane,Area harvested,2020,ha,89800
Sugar cane,Yield,2020,kg/ha,75845.2
Sugar cane,Production,2020,t,6810898
Sugar cane,Area harvested,2021,ha,93288
Sugar cane,Yield,2021,kg/ha,82101.7
Sugar cane,Production,2021,t,7659100
Sugar cane,Area harvested,2022,ha,117960
Sugar cane,Yield,2022,kg/ha,74599.9
